# {"t_start": 1687708283.503118, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-9.0,50,29.265984
-10.0,50,29.295694
-14.0,50,29.325507
-9.0,50,29.355017
-12.0,50,29.384639
-5.0,50,29.415593
-11.0,50,29.444516
-4.0,50,29.474171
0.0,50,29.505415
-4.0,50,29.535865
-11.0,50,29.56898
-8.0,50,29.609959
-9.0,50,29.65459
-47.0,50,29.68464
-9.0,50,29.714069
-8.0,50,29.743941
-7.0,50,29.773574
-3.0,50,29.804678
-11.0,50,29.835577
-3.0,50,29.864096
-5.0,50,29.893111
-35.0,50,29.924054
-10.0,50,29.954722
-10.0,50,30.000972
-4.0,50,30.037939
-10.0,50,30.073886
-7.0,50,30.113218
-8.0,50,30.15367
-13.0,50,30.191794
-7.0,50,30.222939
-14.0,50,30.723591
0.0,50,30.75472
-9.0,50,30.784396
-7.0,50,30.814769
-7.0,50,30.845086
-9.0,50,30.875919
-13.0,50,30.90575
-13.0,50,30.935248
-1.0,50,30.965254
-5.0,50,30.995509
-8.0,50,31.027993
0.0,50,31.060344
-8.0,50,31.09771
-11.0,50,31.134627
-5.0,50,31.170285
-7.0,50,31.202336
-4.0,50,31.235903
-7.0,50,31.26771
-2.0,50,31.300341
-7.0,50,31.333012
-8.0,50,31.365797
-8.0,50,31.397938
-7.0,50,31.43211
0.0,50,31.46723
-3.0,50,31.501418
-10.0,50,31.536576
0.0,50,31.571008
-11.0,50,31.609111
-1.0,50,31.643058
-12.0,50,31.676317
-9.0,50,31.713315
-5.0,50,31.750509
-9.0,50,31.784823
-15.0,50,31.817844
0.0,50,31.852159
-7.0,50,31.886647
0.0,50,31.919986
0.0,50,31.952823
-4.0,50,31.98469
-11.0,50,32.017066
-11.0,50,32.048877
-5.0,50,32.082143
-8.0,50,32.119962
-12.0,50,32.15076
-4.0,50,32.181877
-6.0,50,32.215161
-4.0,50,32.246702
-11.0,50,32.277029
-13.0,50,32.306445
-4.0,50,32.338112
-8.0,50,32.370949
-10.0,50,32.405916
-14.0,50,32.434726
-4.0,50,32.463781
-12.0,50,32.492636
-6.0,50,32.521232
-10.0,50,32.551664
-8.0,50,32.580409
-3.0,50,32.613394
-4.0,50,32.641973
-5.0,50,32.669879
-2.0,50,32.698139
-4.0,50,32.726066
-12.0,50,32.75561
-8.0,50,32.783354
-7.0,50,32.812358
-12.0,50,32.841464
-2.0,50,32.870777
-9.0,50,32.900816
0.0,50,32.930816
-7.0,50,32.95982
-7.0,50,32.988434
-10.0,50,33.016922
-10.0,50,33.045596
-9.0,50,33.074301
-15.0,50,33.112277
-9.0,50,33.142251
-4.0,50,33.170432
-5.0,50,33.199544
0.0,50,33.233486
-8.0,50,33.263706
-11.0,50,33.291578
-13.0,50,33.320504
-12.0,50,33.349723
-3.0,50,33.378326
-12.0,50,33.407067
-5.0,50,33.434895
-2.0,50,33.462845
-3.0,50,33.490485
0.0,50,33.51867
-9.0,50,33.546896
-6.0,50,33.574732
-7.0,50,33.60601
-4.0,50,33.634218
-7.0,50,33.662056
-8.0,50,33.690131
-6.0,50,33.719013
-13.0,50,33.748403
-10.0,50,33.777765
-6.0,50,33.806681
-6.0,50,34.260218
-10.0,50,34.289408
-9.0,50,34.318622
-6.0,50,34.347155
-14.0,50,34.376162
-7.0,50,34.405121
-9.0,50,34.433331
-1.0,50,34.462854
-4.0,50,34.491529
-12.0,50,34.520646
-6.0,50,34.549995
-8.0,50,34.578926
-9.0,50,34.611653
-10.0,50,34.641773
-8.0,50,34.670902
-8.0,50,34.700088
-6.0,50,34.728843
-10.0,50,34.757316
-11.0,50,34.786262
-2.0,50,34.814848
-10.0,50,34.843856
-7.0,50,34.872608
-8.0,50,34.901599
-7.0,50,34.930236
-4.0,50,34.959493
-6.0,50,34.987895
-12.0,50,35.016082
-8.0,50,35.043913
-6.0,50,35.072022
-1.0,50,35.104734
-10.0,50,35.136301
-9.0,50,35.166247
-5.0,50,35.194274
-2.0,50,35.222185
-9.0,50,35.250309
-1.0,50,35.277734
-9.0,50,35.305934
-3.0,50,35.334056
-11.0,50,35.362181
-4.0,50,35.390353
-8.0,50,35.418323
-3.0,50,35.446132
-5.0,50,35.4746
-4.0,50,35.502196
-5.0,50,35.530287
-12.0,50,35.559067
-7.0,50,35.588261
-10.0,50,35.620092
-10.0,50,35.649442
-6.0,50,35.678238
-12.0,50,35.70706
-9.0,50,35.735437
-9.0,50,35.764666
-1.0,50,35.79355
-7.0,50,35.821467
-10.0,50,35.84973
-8.0,50,35.878236
-10.0,50,35.905646
-11.0,50,35.933533
-11.0,50,35.962399
-11.0,50,35.99174
-5.0,50,36.020508
-8.0,50,36.049876
-7.0,50,36.079441
-10.0,50,36.110646
-11.0,50,36.139544
-1.0,50,36.168537
0.0,50,36.198109
-3.0,50,36.22758
-5.0,50,36.256556
0.0,50,36.285592
-8.0,50,36.313684
-12.0,50,36.341969
-7.0,50,36.370201
-11.0,50,36.398002
-12.0,50,36.425674
-9.0,50,36.45416
-8.0,50,36.482967
-3.0,50,36.511679
-8.0,50,36.540502
-4.0,50,36.577712
-8.0,50,36.610494
-8.0,50,36.639371
-9.0,50,36.668564
-5.0,50,36.69729
-1.0,50,36.726045
-9.0,50,36.754185
-5.0,50,36.78251
-1.0,50,36.810387
-5.0,50,36.838747
-9.0,50,36.866993
-10.0,50,36.894345
-3.0,50,36.922193
-3.0,50,36.951793
-10.0,50,36.981598
-5.0,50,37.009315
-4.0,50,37.037854
-9.0,50,37.066855
-11.0,50,37.099368
-5.0,50,37.129031
-8.0,50,37.582052
-10.0,50,37.616404
-10.0,50,37.644927
-10.0,50,37.673404
-6.0,50,37.701753
-10.0,50,37.730986
-12.0,50,37.760103
-10.0,50,37.788565
-6.0,50,37.817826
-12.0,50,37.847334
-4.0,50,37.876607
-9.0,50,37.905727
-8.0,50,37.934913
-12.0,50,37.966348
-6.0,50,37.996016
0.0,50,38.025196
-2.0,50,38.054718
-7.0,50,38.083837
-14.0,50,38.116016
-10.0,50,38.145181
-4.0,50,38.173869
-7.0,50,38.203466
-5.0,50,38.232836
-7.0,50,38.261901
-5.0,50,38.29087
-10.0,50,38.32032
-10.0,50,38.349288
-6.0,50,38.377106
-5.0,50,38.405111
-9.0,50,38.433059
-11.0,50,38.461179
-10.0,50,38.49061
-9.0,50,38.518424
-5.0,50,38.548527
-13.0,50,38.577093
-8.0,50,38.607744
-3.0,50,38.637548
-3.0,50,38.66722
-12.0,50,38.696254
-9.0,50,38.730443
-5.0,50,38.764651
-4.0,50,38.798419
-10.0,50,38.832826
