"[ 7.7693260e-01 -5.4696417e-01  6.2958378e-01  8.3715600e-01
 -2.2097141e-02  9.6882761e-02  3.3173976e-06  3.5658531e-06
 -2.7028294e-02  9.6624322e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696423e-01  6.2958384e-01  8.3715600e-01
 -2.2097141e-02  9.6882761e-02  1.9723193e-06  6.3126945e-06
 -2.7028302e-02  9.6624315e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696435e-01  6.2958384e-01  8.3715588e-01
 -2.2097141e-02  9.6882761e-02  9.9955935e-07  7.7181430e-06
 -2.7028311e-02  9.6624292e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696447e-01  6.2958384e-01  8.3715582e-01
 -2.2097141e-02  9.6882761e-02  7.3835582e-07  6.6360649e-06
 -2.7028317e-02  9.6624278e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696459e-01  6.2958384e-01  8.3715576e-01
 -2.2097141e-02  9.6882761e-02  2.6850444e-07  5.3836629e-06
 -2.7028322e-02  9.6624270e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696465e-01  6.2958384e-01  8.3715570e-01
 -2.2097141e-02  9.6882761e-02 -2.1599506e-07  3.8352309e-06
 -2.7028324e-02  9.6624255e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696470e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -5.4160540e-07  2.4833905e-06
 -2.7028326e-02  9.6624255e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -5.2716058e-07  1.7556957e-06
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -4.0331827e-07  9.3177232e-07
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.6305550e-07  5.5192248e-07
 -2.7028326e-02  9.6624240e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -2.7591275e-07 -3.1084627e-07
 -2.7028326e-02  9.6624240e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -2.3430596e-08 -5.8496710e-07
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02  2.8636361e-08 -3.9269369e-07
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02  6.4926894e-08 -2.1528906e-07
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.1934691e-08 -2.1839803e-07
 -2.7028326e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.2321999e-07 -2.2144364e-07
 -2.7028324e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.76932538e-01 -5.46964765e-01  6.29583836e-01  8.37155640e-01
 -2.20971406e-02  9.68827605e-02 -1.13412696e-07 -1.28556366e-07
 -2.70283241e-02  9.66242477e-02  0.00000000e+00]"
"[ 7.7693254e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.9965238e-07 -4.4878309e-08
 -2.7028324e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -2.8233785e-07 -3.6610146e-08
 -2.7028324e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.7260093e-07 -4.3266432e-08
 -2.7028324e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -2.5489936e-07 -4.9780812e-08
 -2.7028322e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958384e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -1.4570557e-07 -5.6176315e-08
 -2.7028322e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958378e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -2.2853635e-07 -6.2435078e-08
 -2.7028322e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958378e-01  8.3715564e-01
 -2.2097141e-02  9.6882761e-02 -5.9967277e-08  1.4530066e-07
 -2.7028322e-02  9.6624248e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4696476e-01  6.2958378e-01  8.3715564e-01
